,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
0,1513209600,16941.08,16023.64,16286.82,107918.03,1773813863.46,16467.91,direct,,6344125643.85,3229618496.73,9573744140.58,6736640419.53,3459583308.49,10196223728.02,13736101601.45,8712356019.46,22448457620.9,16311860908.24
1,1513296000,17987.03,16442.2,16467.91,153651.15,2682351213.91,17604.85,direct,,5399469816.17,4468816180.29,9868285996.46,6355843433.7,5091871891.32,11447715325.02,12411961479.38,12540103661.56,24952065140.94,16314248657.31
2,1513382400,19587.7,17318.54,17594.08,112173.97,2078806368.79,19345.49,direct,,5083907523.84,3839716650.15,8923624173.99,5958368166.47,4369941902.63,10328310069.09,11648818127.01,11647325622.46,23296143749.47,13924217636.78
3,1513468800,19870.62,18750.91,19346.6,117408.38,2264650369.71,19065.71,direct,,5667904602.27,4075019250.36,9742923852.64,6602854037.0,4676745831.99,11279599868.98,12959494638.99,12088591499.93,25048086138.93,15261740703.74
4,1513555200,19221.1,18114.42,19065.71,139251.39,2597510049.89,18972.32,direct,,6221767632.67,4097386495.9,10319154128.56,7216911919.4,4821051492.12,12037963221.8,14132241927.04,11683589881.02,25815831808.07,17819354848.79
5,1513641600,19021.97,16812.8,18971.19,174543.37,3136709262.09,17523.7,direct,,7349667237.63,4283567353.25,11633234766.11,8668173556.91,5204003901.44,13872177458.35,16818495142.8,12479736721.16,29298231863.95,21432746280.69
6,1513728000,17813.6,15642.69,17521.73,227676.13,3791752510.78,16461.97,direct,,9211754108.6,5390021347.76,14601775456.37,10580237839.32,6204635348.42,16784873187.75,20677793433.18,14996797711.58,35674591309.38,25806444461.62
7,1513814400,17301.83,14952.98,16461.09,163735.02,2619295475.76,15632.12,direct,,7580079236.01,3995372125.68,11575451361.7,8617419684.76,4542443489.12,13159863017.55,16979664238.03,10998938776.1,27978603014.12,19959150999.66
8,1513900800,15823.72,10875.71,15632.12,466980.6,6245731508.4,13664.97,direct,,7192768766.54,8922790044.06,16115558810.59,8154825562.54,10129691399.73,18284516962.27,16071152167.53,23116701379.77,39187853547.3,27779090209.39
9,1513987200,15493.23,13356.07,13664.97,170169.39,2491903154.48,14396.46,direct,,5288587377.25,3658791493.92,8947378871.17,6129474240.4,4389234042.64,10518708283.04,12011026611.24,10377741745.83,22388768357.07,15140802330.85
10,1514073600,14413.72,12166.45,14396.63,182417.29,2428437693.16,13789.95,direct,,4387549356.8,3767897815.65,8155447172.44,5093238050.79,4496434250.4,9589672301.19,10002643243.43,10569607246.81,20572250490.24,13430905208.84
11,1514160000,14467.43,13010.71,13789.95,107475.98,1487888106.52,13833.49,direct,,4943493655.92,2355423915.58,7298917571.5,5709362142.85,2762537439.55,8471899444.06,11213217139.96,6520223779.33,17733440780.95,11163039890.02
12,1514246400,16094.67,13748.49,13830.19,143135.26,2198577125.17,15756.56,direct,,5517221407.28,3668851654.63,9186073061.91,6410702656.88,4208716148.86,10619418963.3,12541000626.6,10031859834.65,22572860461.25,13305680821.87
13,1514332800,16514.59,14534.66,15757.02,138705.28,2162831128.76,15416.64,direct,,4809906580.15,3487617821.52,8297524401.67,5759671349.81,4021571914.59,9781243264.4,11170563882.08,9757640696.89,20928204578.97,13179444111.42
